batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
32,2000,sigmoid,0.15,rmsprop,-0.2481363582528417
16,2000,relu,0.15,sgd,-0.24822853072130213
2,2000,selu,0.1,adam,-0.2483135333579946
4,2000,relu,0.25,rmsprop,-0.24831636383605094
16,2000,sigmoid,0.05,rmsprop,-0.2484320765140962
32,2000,sigmoid,0.05,adam,-0.2485668248446232
16,2000,sigmoid,0.1,adam,-0.24869559211367798
8,2000,relu,0.2,adam,-0.24871554817825334
4,2000,softplus,0.2,adamax,-0.24894046339586814
16,2000,sigmoid,0.25,adam,-0.2491798763017798
16,2000,relu,0.2,rmsprop,-0.24924138354973768
4,2000,relu,0.25,adamax,-0.24952697508841817
32,2000,softplus,0.1,adamax,-0.2496282934955071
32,2000,sigmoid,0.1,adamax,-0.24977694304699802
16,2000,sigmoid,0.15,adam,-0.24983878978309543
4,2000,relu,0.1,rmsprop,-0.24991982997142215
4,2000,sigmoid,0.25,adamax,-0.25006212031058445
2,2000,relu,0.25,adam,-0.25021572563177324
16,2000,sigmoid,0.05,adam,-0.25046735378692486
8,2000,relu,0.25,adamax,-0.2506621527954295
32,2000,elu,0.1,sgd,-0.25088154316662764
32,2000,tanh,0.2,sgd,-0.2509266118722928
8,2000,sigmoid,0.1,adamax,-0.25130497250220557
32,2000,relu,0.05,sgd,-0.25132451148387974
32,2000,relu,0.2,rmsprop,-0.2513906818942472
16,2000,sigmoid,0.2,rmsprop,-0.2515463185545049
16,2000,sigmoid,0.1,adamax,-0.2516824069855375
16,2000,relu,0.1,sgd,-0.25172624725742315
8,2000,relu,0.2,adamax,-0.25218955901969214
2,2000,elu,0.05,adam,-0.25275381112921114
2,2000,relu,0.25,rmsprop,-0.2529609127476781
16,2000,relu,0.2,sgd,-0.2529915622779979
8,2000,relu,0.1,adamax,-0.25315353357220216
4,2000,sigmoid,0.2,adamax,-0.25322733761513627
8,2000,softplus,0.1,adamax,-0.25342004416929426
32,2000,relu,0.2,sgd,-0.25354385112318173
